wahltermin_datum,wahl,Wahlkreis,AGS,Bez-Nr,Wahlberechtigte,Ohne Sperrvermerk,Mit Sperrvermerk,Nicht im W�hlerverzeichnis,Waehler,DavonMitWahlschein,UngueltigeErststimmen,UngueltigeZweitstimmen,GueltigeErststimmen,GueltigeZweitstimmen,CDU,CDU,SPD,SPD,GR�NE,GR�NE,FDP,FDP,DIE LINKE,DIE LINKE,PIRATEN,PIRATEN,pro NRW,pro NRW,NPD,NPD,Tierschutzpartei,Tierschutzpartei,FAMILIE,FAMILIE,BIG,BIG,Die PARTEI,Die PARTEI,�DP,�DP,FBI/Freie W�hler,FBI/Freie W�hler,AUF,AUF,FREIE W�HLER,FREIE W�HLER,Partei der Vernunft,Partei der Vernunft
13.05.2012,Landtagswahl NRW,108,5911000,6410,947,788,159,0,443,1,9,8,434,435,79,61,242,193,39,58,20,32,18,26,36,40,,8,,5,,2,,3,,2,,0,,1,,0,,1,,2,,1
13.05.2012,Landtagswahl NRW,108,5911000,6501,991,743,248,0,432,0,6,6,426,426,99,91,235,189,34,63,14,22,13,14,31,32,,6,,2,,3,,1,,0,,0,,0,,2,,0,,0,,1
13.05.2012,Landtagswahl NRW,108,5911000,6502,997,807,190,0,491,0,7,7,484,484,92,75,290,262,49,66,10,24,13,9,30,26,,12,,3,,5,,0,,0,,0,,0,,0,,1,,1,,0
13.05.2012,Landtagswahl NRW,108,5911000,6503,918,776,142,0,525,3,8,4,517,521,96,83,304,257,36,79,17,20,18,16,46,37,,13,,2,,6,,1,,2,,2,,1,,0,,0,,2,,0
13.05.2012,Landtagswahl NRW,108,5911000,6504,1058,849,209,0,497,0,6,6,491,491,81,67,280,241,58,77,17,27,11,13,44,46,,10,,1,,3,,3,,1,,1,,0,,0,,0,,1,,0
13.05.2012,Landtagswahl NRW,108,5911000,6505,1020,760,260,0,447,0,8,5,439,442,100,76,238,204,48,75,13,32,13,14,27,27,,8,,1,,2,,1,,0,,0,,0,,0,,0,,1,,1
13.05.2012,Landtagswahl NRW,108,5911000,6506,442,314,128,0,187,0,4,2,183,185,46,32,102,80,14,34,7,22,3,4,11,8,,1,,1,,1,,0,,0,,0,,0,,2,,0,,0,,0
13.05.2012,Landtagswahl NRW,108,5911000,6507,684,530,154,0,344,1,4,2,340,342,51,39,177,152,49,58,22,30,3,7,38,37,,5,,1,,6,,4,,3,,0,,0,,0,,0,,0,,0
13.05.2012,Landtagswahl NRW,108,5911000,6508,1425,1306,119,0,682,0,10,14,672,668,59,47,422,336,91,143,9,14,34,37,57,65,,6,,9,,6,,2,,1,,2,,0,,0,,0,,0,,0
13.05.2012,Landtagswahl NRW,108,5911000,6509,649,569,80,0,290,0,2,2,288,288,45,39,154,130,24,39,6,13,15,13,44,33,,3,,4,,8,,3,,1,,0,,1,,0,,0,,1,,0
13.05.2012,Landtagswahl NRW,108,5911000,6510,741,593,148,0,343,1,4,7,339,336,87,74,174,136,28,48,12,25,11,11,27,34,,3,,1,,2,,1,,0,,0,,0,,0,,0,,1,,0
13.05.2012,Landtagswahl NRW,108,5911000,6511,864,676,188,0,409,2,9,10,400,399,55,43,254,222,35,61,15,19,2,3,39,42,,7,,1,,0,,0,,0,,1,,0,,0,,0,,0,,0
13.05.2012,Landtagswahl NRW,108,5911000,9131,0,0,0,0,373,373,4,3,369,370,103,94,157,126,52,72,18,26,15,22,24,24,,3,,0,,1,,0,,0,,0,,0,,0,,1,,1,,0
13.05.2012,Landtagswahl NRW,108,5911000,9132,0,0,0,0,559,559,7,5,552,554,214,190,202,144,62,103,16,34,14,20,44,49,,1,,1,,4,,0,,2,,2,,1,,0,,0,,2,,1
