OBJECTID,Rechtswert,Hochwert,Kategorie,Adresse,Bezeichnun,Bezirk,Anzahl,Art,Stammdurch,Stammumfan,Anlass,Zeitpunkt,Bemerkunge
13,376294,5707285,Pflanzung,Grummer Straye,StramenbSume,Mitte,27,Nelken-Kirschen, , ,StadtBaumKonzept,bis April 2019, 
14,377083,5706767,Pflanzung,Heckertstrane,Straeenbtume,Mitte,12,Baum-Hasel, , ,StadtBaumKonzept,bis April 2019, 
15,377036,5706813,Pflanzung,Heckertstrane,Straeenbtume,Mitte,3,Sand-Birke, , ,StadtBaumKonzept,bis April 2019, 
16,375289,5705997,Pflanzung,Hildegardstra,Straeenbdume,Mitte,15,Feld-Ahorn, , ,StadtBaumKonzept,bis April 2019, 
17,377743,5706821,Pflanzung,Josephinenstra,Strapenbeume,Mitte,3,Thtringische Mehlbeeren, , ,StadtBaumKonzept,bis April 2019, 
18,377568,5706948,Pflanzung,Josephinenstra,Strapenbeume,Mitte,9,Winter-Lindeb, , ,StadtBaumKonzept,bis April 2019, 
19,376209,5705068,Pflanzung,Kortumstrale,Strauenbrume,Mitte,5,Tulpenbaum, , ,StadtBaumKonzept,bis April 2019, 
20,377648,5705318,Pflanzung,Krlmmede,Stramenb,Mitte,4,Platane, , ,StadtBaumKonzept,bis April 2019, 
21,376867,5705357,Pflanzung,Lorentz-Rebbert-Allee,StranenbRume,Mitte,6,Rot-Ahorn, , ,StadtBaumKonzept,bis April 2019, 
22,376403,5703721,Pflanzung,Saladin-Schmitt-Straee,StradenbSume,Mitte,8,Feld-Ahorn, , ,StadtBaumKonzept,bis April 2019, 
23,376461,5705615,Pflanzung,Schillerstraye,Stralenbsume,Mitte,5,Thtringische Mehlbeeren, , ,StadtBaumKonzept,bis April 2019, 
24,375064,5705550,Pflanzung,Seifahrt,Straaenb,Mitte,7,Winter-Linden, , ,StadtBaumKonzept,bis April 2019, 
25,377993,5703942,Pflanzung,Stockyweg,Strakenbgume,Mitte,4,Nelken-Kirschen, , ,StadtBaumKonzept,bis April 2019, 
26,376221,5706201,Pflanzung,Wielandstrane,Straaenbtume,Mitte,48,Vogel-Kirschen, , ,StadtBaumKonzept,bis April 2019, 
27,377740,5706263,Pflanzung,Wilhelm-Raabe-Straee,StraeenbRume,Mitte,4,Feld-Ahorn, , ,StadtBaumKonzept,bis April 2019, 
28,378120,5704371,Pflanzung,Wirmerstrale,Straeenbrume,Mitte,3,Thtringische Mehlbeeren, , ,StadtBaumKonzept,bis April 2019, 
29,377957,5703869,Pflanzung,Wittener Stra,Straeenb ume,Mitte,4,Platanen, , ,StadtBaumKonzept,bis April 2019, 
30,375542,5705898,Pflanzung,Zechenstrale,Straeenbaum,Mitte,1,Platane, , ,StadtBaumKonzept,bis April 2019, 
31,380878,5708881,Pflanzung,Amtmann-Ibing-Straee,StraaenbIume,Nord,5,Sommer-Linde, , ,StadtBaumKonzept,bis April 2019, 
32,381615,5709098,Pflanzung,An der Halde,Straeenbaume,Nord,28,Sand-Birke, , ,StadtBaumKonzept,bis April 2019, 
33,378412,5706554,Pflanzung,Bfckenberg,Straeenbrume,Nord,5,Japanischer Schnurbaum, , ,StadtBaumKonzept,bis April 2019, 
34,380634,5709405,Pflanzung,Holthauser Strate,Strahenbeume,Nord,10,Japanischer Schnurbaum, , ,StadtBaumKonzept,bis April 2019, 
35,380992,5706880,Pflanzung,Harpener Hellweg,Straeenb ume,Nord,2,Eichen, , ,StadtBaumKonzept,bis April 2019, 
36,380354,5708765,Pflanzung,Schwerinstraye,Straeenbsume,Nord,2,Pflaumenblmttriger Wei, , ,StadtBaumKonzept,bis April 2019, 
37,380343,5708613,Pflanzung,Schwerinstraye,Straeenbsume,Nord,17,Nelken-Kirschen, , ,StadtBaumKonzept,bis April 2019, 
38,380207,5707347,Pflanzung,Wodanstra,Stranenbaume,Nord,3,Japanischer Schnurbaum, , ,StadtBaumKonzept,bis April 2019, 
39,377902,5703322,Pflanzung,Wasserstrale,Paul-Dohmann Schule,Mitte,1,Rosskastanie, , ,StadtBaumKonzept,bis April 2019, 
40,374070,5704999,Pflanzung,An der Maarbr,Grundschule,Mitte,1,Kuchenbaum, , ,StadtBaumKonzept,bis April 2019, 
41,377460,5704607,Pflanzung,Lohring,Anette von Droste H,Mitte,1,Urweltmammutbaum, , ,StadtBaumKonzept,bis April 2019, 
42,376803,5704803,Pflanzung,Moritz-Fiege-Stra e,Technische Berufsschulen,Mitte,1,Blutbuche, , ,StadtBaumKonzept,bis April 2019, 
43,374251,5706292,Pflanzung,Gahlenschestra,Gemeinschaftsgrundschule,Mitte,6,Gitterbaum: Palownie, , ,StadtBaumKonzept,bis April 2019, 
44,370513,5704657,Pflanzung,Saarlandstraee 40-44,Markische Schule,Wattenscheid,4,Japanischer Schnurbaum, , ,StadtBaumKonzept,bis April 2019, 
45,370972,5701936,Pflanzung,Preinsfeld,Regenbogenschule,Wattenscheid,5,Japanischer Schnurbaum, , ,StadtBaumKonzept,bis April 2019, 
46,371184,5703861,Pflanzung,Westenfelder Strare,Schulzentrum Westenfeld,Wattenscheid,10,Amberbaum, , ,StadtBaumKonzept,bis April 2019, 
47,371998,5704723,Pflanzung,Bochumer Stra,Glcckaufschule,Wattenscheid,8,Winter-Linden, , ,StadtBaumKonzept,bis April 2019, 
48,380425,5708631,Pflanzung,Heinrichstr. 40,Hans-Christian- Andersen Schule,Nord,2,Winter-Linden, , ,StadtBaumKonzept,bis April 2019, 
49,383027,5703588,Pflanzung,Otilienstrame,Lessing-Schule,Ost,1,Amberbaum, , ,StadtBaumKonzept,bis April 2019, 
50,371481,5698820,Pflanzung,Dr.-C.-Otto-Stra,Schulzentrum Srdwest,Sued-West,4,Amperbaum: Baumhasel, , ,StadtBaumKonzept,bis April 2019, 
51,377018,5701194,Pflanzung,Brenscheder Stra, ,Sued-West,3,Sumpf-Eiche, , ,StadtBaumKonzept,bis April 2019, 
52,372522,5698706,Pflanzung,Donnerbecke,Grundschule Linden,Sued-West,5,Palownie, , ,StadtBaumKonzept,bis April 2019, 
53,378124,5701517,Pflanzung,Markstrage,Erich-Kastner Gesamtschule,Sued-West,8,Ahorn: Palownie, , ,StadtBaumKonzept,bis April 2019, 
54,376838,5701441,Pflanzung,Borgholzstraee,Borgholzschule,Sued-West,4,Winter-Linden, , ,StadtBaumKonzept,bis April 2019, 
55,375056,5700276,Pflanzung,Neulingstrame,Gemeinschaftsgrundschule Neuling,Sued-West,1,Winter-Linde, , ,StadtBaumKonzept,bis April 2019, 
56,374854,5702716,Pflanzung,Lange Malterse,Sonnenschule,Sued-West,1,Winter-Linde, , ,StadtBaumKonzept,bis April 2019, 
57,376721,5708707,Pflanzung,Brlnselstrame,Stldt. Kindertageseinrichtung,Sued-West,1,Zerr-Eiche, , ,StadtBaumKonzept,bis April 2019, 
58,371819,5707523,Pflanzung,Am Lakenbruch,Kleingartenanlage,Mitte,18,Ulmen: Zier-npfel: Japanische Bl, , ,StadtBaumKonzept,bis April 2019, 
59,378730,5705024,Pflanzung,Brelohstrame,Kleingartenanlage Auf der Prinz,Mitte,32,Zier-, , ,StadtBaumKonzept,bis April 2019, 
