wahltermin_datum,wahl,Wahlkreis,AGS,Bez-Nr,Wahlberechtigte insgesamt,ohne Vermerk W,mit Vermerk W,nicht im W�hlerverzeichnis,Waehler,DavonMitWahlschein,UngueltigeErststimmen,UngueltigeZweitstimmen,GueltigeErststimmen,GueltigeZweitstimmen,CDU ,CDU,SPD,SPD,FDP,FDP,GR�NE,GR�NE,DIE LINKE,DIE LINKE,Piraten,Piraten,NPD,NPD,REP,REP,B�ndnis 21 / RRP,B�ndnis 21 /RRP,Volksabstimmung,Volksabstimmung,�DP,�DP,MLPD,MLPD,B�So,B�So,PSG,PSG,AfD,AfD,BIG,BIG,pro Deutschland,pro Deutschland,Die Rechte,Die Rechte,FREIE W�HLER,FREIE W�HLER,Partei der Nichtw�hler,Partei der Nichtw�hler,Partei der Vernunft,Partei der Vernunft,Die PARTEI,Die PARTEI
22.09.2013,Bundestagswahl,140,5911000,1702,927,760,167,0,500,2,12,8,488,492,153,132,231,213,6,15,25,33,42,43,16,18,13,9,,0,,0,,0,,1,2,0,,0,,0,,19,,0,,3,,0,,2,,0,,1,,3
22.09.2013,Bundestagswahl,140,5911000,1703,1339,1059,280,0,752,3,6,7,746,745,254,221,358,319,10,12,24,54,58,62,21,21,20,11,,0,,0,,1,,0,1,1,,0,,0,,32,,2,,2,,0,,3,,1,,1,,2
22.09.2013,Bundestagswahl,140,5911000,1704,1033,830,203,0,509,0,16,15,493,494,142,124,228,200,4,15,35,45,42,48,21,18,20,18,,0,,1,,0,,2,1,0,,2,,0,,11,,0,,1,,1,,2,,1,,0,,5
22.09.2013,Bundestagswahl,140,5911000,1705,1070,834,236,0,522,2,16,14,506,508,136,116,251,219,11,11,28,44,46,59,19,19,14,11,,1,,0,,1,,0,1,0,,0,,0,,23,,0,,0,,1,,0,,1,,0,,2
22.09.2013,Bundestagswahl,140,5911000,1706,872,705,167,0,473,0,8,6,465,467,153,136,203,174,7,15,25,44,42,50,19,12,16,13,,0,,0,,1,,0,0,0,,0,,0,,18,,0,,0,,1,,0,,1,,0,,2
22.09.2013,Bundestagswahl,140,5911000,1707,954,789,165,0,429,0,6,4,423,425,134,119,205,172,2,7,13,20,25,48,24,14,20,24,,1,,0,,1,,0,0,0,,1,,0,,13,,0,,2,,0,,0,,0,,0,,3
22.09.2013,Bundestagswahl,140,5911000,1801,1447,1132,315,0,710,1,13,9,697,701,188,169,381,328,4,15,33,47,47,58,23,21,21,18,,2,,1,,3,,1,0,0,,0,,0,,30,,0,,4,,0,,1,,1,,0,,2
22.09.2013,Bundestagswahl,140,5911000,1802,1247,1033,214,0,622,0,17,10,605,612,177,163,293,256,8,12,28,46,55,63,24,22,18,11,,2,,0,,1,,0,2,0,,1,,0,,27,,0,,3,,0,,0,,1,,2,,2
22.09.2013,Bundestagswahl,140,5911000,1803,1292,1059,233,0,678,2,13,10,665,668,181,161,349,296,1,7,25,39,52,67,24,22,33,29,,2,,0,,1,,0,0,0,,0,,0,,32,,0,,3,,0,,4,,0,,1,,4
22.09.2013,Bundestagswahl,140,5911000,1804,1347,1018,329,0,613,0,5,5,608,608,138,136,345,307,4,4,28,34,43,50,20,14,30,20,,0,,1,,2,,0,0,1,,1,,1,,31,,0,,3,,1,,1,,0,,1,,0
22.09.2013,Bundestagswahl,140,5911000,1805,1190,938,252,0,472,0,10,8,462,464,106,92,236,223,11,10,21,25,57,56,10,13,21,13,,0,,0,,0,,1,0,1,,0,,0,,21,,4,,2,,0,,1,,0,,0,,2
22.09.2013,Bundestagswahl,140,5911000,1806,1173,994,179,0,580,0,10,10,570,570,157,133,258,214,8,24,57,77,48,60,29,24,12,8,,0,,1,,2,,1,1,0,,0,,0,,21,,0,,2,,0,,0,,1,,1,,1
22.09.2013,Bundestagswahl,140,5911000,2101,887,740,147,0,495,2,9,8,486,487,171,142,228,200,3,19,15,23,42,55,14,8,12,5,,1,,0,,0,,0,1,0,,1,,0,,25,,1,,4,,1,,0,,0,,0,,2
22.09.2013,Bundestagswahl,140,5911000,2102,1023,861,162,0,571,1,11,8,560,563,177,162,268,234,6,19,23,29,35,49,18,7,32,23,,0,,0,,2,,0,1,0,,0,,0,,28,,2,,4,,0,,0,,0,,1,,3
22.09.2013,Bundestagswahl,140,5911000,2103,1286,1064,222,0,704,0,14,10,690,694,199,180,341,289,4,13,46,54,49,61,21,23,29,18,,5,,3,,2,,0,1,1,,0,,0,,35,,0,,3,,0,,5,,1,,0,,1
