wahltermin_datum,wahl,Wahlkreis,AGS,Bez-Nr,Wahlberechtigte insgesamt,ohne Vermerk W,mit Vermerk W,nicht im W�hlerverzeichnis,Waehler,DavonMitWahlschein,UngueltigeErststimmen,UngueltigeZweitstimmen,GueltigeErststimmen,GueltigeZweitstimmen,CDU ,CDU,SPD,SPD,FDP,FDP,GR�NE,GR�NE,DIE LINKE,DIE LINKE,Piraten,Piraten,NPD,NPD,REP,REP,B�ndnis 21 / RRP,B�ndnis 21 /RRP,Volksabstimmung,Volksabstimmung,�DP,�DP,MLPD,MLPD,B�So,B�So,PSG,PSG,AfD,AfD,BIG,BIG,pro Deutschland,pro Deutschland,Die Rechte,Die Rechte,FREIE W�HLER,FREIE W�HLER,Partei der Nichtw�hler,Partei der Nichtw�hler,Partei der Vernunft,Partei der Vernunft,Die PARTEI,Die PARTEI
22.09.2013,Bundestagswahl,141,5911000,4504,1190,915,275,0,667,2,7,8,660,659,205,180,309,276,7,29,56,60,55,57,15,21,10,4,,0,,0,,1,,4,3,3,,0,,1,,18,,0,,2,,0,,0,,0,,0,,3
22.09.2013,Bundestagswahl,141,5911000,4505,994,833,161,0,481,3,7,6,474,475,144,132,220,193,4,12,25,47,50,48,20,14,10,6,,0,,0,,1,,1,1,3,,0,,0,,14,,0,,1,,0,,1,,1,,0,,1
22.09.2013,Bundestagswahl,141,5911000,4506,951,776,175,0,557,14,4,3,553,554,171,158,246,205,2,14,61,80,53,46,13,20,6,4,,0,,0,,1,,4,1,1,,0,,0,,13,,4,,0,,0,,2,,0,,1,,1
22.09.2013,Bundestagswahl,141,5911000,4507,1349,1069,280,0,770,3,15,13,755,757,250,221,335,283,5,18,68,73,53,68,25,26,18,16,,0,,0,,3,,2,1,2,,0,,0,,38,,0,,3,,0,,0,,3,,0,,1
22.09.2013,Bundestagswahl,141,5911000,4508,1318,1005,313,0,677,0,17,13,660,664,197,182,313,265,7,22,60,78,49,58,17,14,16,10,,2,,1,,1,,0,1,0,,0,,0,,20,,0,,1,,0,,4,,1,,0,,5
22.09.2013,Bundestagswahl,141,5911000,9311,0,0,0,0,1113,1113,10,0,1103,1113,348,313,557,521,28,59,81,92,46,51,28,23,14,9,,1,,0,,2,,0,1,0,,0,,0,,33,,0,,1,,0,,2,,3,,3,,0
22.09.2013,Bundestagswahl,141,5911000,9312,0,0,0,0,638,638,16,6,622,632,167,149,343,342,14,23,36,41,36,32,15,7,10,6,,1,,1,,1,,0,1,1,,0,,0,,24,,1,,0,,0,,0,,0,,1,,2
22.09.2013,Bundestagswahl,141,5911000,9321,0,0,0,0,1114,1114,22,14,1092,1100,331,329,565,507,16,32,63,74,56,57,25,21,36,17,,0,,1,,6,,1,0,1,,0,,1,,38,,0,,4,,2,,1,,3,,0,,5
22.09.2013,Bundestagswahl,141,5911000,9322,0,0,0,0,1138,1138,18,13,1120,1125,401,381,526,481,12,33,65,77,60,63,34,25,18,15,,0,,1,,6,,0,4,0,,0,,1,,30,,0,,4,,0,,1,,2,,2,,3
22.09.2013,Bundestagswahl,141,5911000,9331,0,0,0,0,706,706,9,6,697,700,257,239,313,286,11,26,58,63,29,37,17,19,12,9,,3,,0,,1,,0,0,1,,0,,0,,12,,0,,1,,0,,1,,0,,0,,2
22.09.2013,Bundestagswahl,141,5911000,9332,0,0,0,0,781,781,12,5,769,776,293,264,354,354,15,35,40,48,40,33,10,7,17,9,,0,,1,,2,,0,0,0,,0,,0,,16,,0,,2,,0,,1,,1,,1,,2
22.09.2013,Bundestagswahl,141,5911000,9411,0,0,0,0,538,538,8,4,530,534,190,173,238,219,8,17,34,44,32,31,14,11,10,7,,1,,2,,2,,0,4,1,,0,,0,,16,,1,,1,,0,,0,,0,,0,,8
22.09.2013,Bundestagswahl,141,5911000,9412,0,0,0,0,660,660,13,10,647,650,203,190,307,291,13,22,43,49,44,46,17,13,20,14,,0,,0,,2,,2,0,0,,0,,0,,14,,0,,4,,0,,0,,0,,0,,3
22.09.2013,Bundestagswahl,141,5911000,9421,0,0,0,0,742,742,12,4,730,738,220,209,379,369,13,25,43,41,47,37,19,11,9,6,,0,,1,,2,,0,0,0,,0,,0,,29,,0,,3,,1,,3,,0,,1,,0
22.09.2013,Bundestagswahl,141,5911000,9422,0,0,0,0,693,693,2,2,691,691,237,223,329,303,20,32,53,52,25,25,17,10,7,6,,3,,1,,3,,1,3,2,,0,,0,,19,,1,,1,,0,,2,,1,,0,,6
22.09.2013,Bundestagswahl,141,5911000,9431,0,0,0,0,558,558,5,3,553,555,152,149,259,232,10,19,41,52,45,34,24,20,22,16,,2,,1,,3,,1,0,0,,0,,1,,11,,0,,4,,1,,1,,2,,1,,5
22.09.2013,Bundestagswahl,141,5911000,9432,0,0,0,0,618,618,10,5,608,613,179,177,268,246,12,18,65,56,42,41,24,19,13,7,,0,,0,,3,,2,5,3,,0,,0,,31,,0,,1,,0,,2,,4,,0,,3
22.09.2013,Bundestagswahl,141,5911000,9441,0,0,0,0,575,575,7,7,568,568,147,135,287,248,4,12,60,68,29,45,17,11,20,11,,3,,3,,2,,2,4,0,,1,,0,,21,,0,,0,,1,,0,,0,,1,,4
22.09.2013,Bundestagswahl,141,5911000,9442,0,0,0,0,637,637,10,3,627,634,189,187,307,284,11,25,55,55,35,36,24,12,6,4,,0,,0,,2,,0,0,0,,0,,1,,22,,0,,0,,0,,1,,2,,0,,3
22.09.2013,Bundestagswahl,141,5911000,9451,0,0,0,0,818,818,10,5,808,813,260,252,358,309,18,24,79,93,47,56,27,18,16,7,,0,,0,,4,,0,3,1,,0,,0,,37,,0,,4,,0,,0,,2,,2,,4
22.09.2013,Bundestagswahl,141,5911000,9452,0,0,0,0,870,870,14,8,856,862,274,266,422,367,15,39,71,87,45,46,19,19,8,3,,0,,0,,2,,1,2,3,,0,,1,,20,,0,,1,,0,,0,,3,,0,,4
