datetime,outdoor_temperature,outdoor_feels_like,outdoor_app_temp,outdoor_dew_point,outdoor_humidity,indoor_temperature,indoor_humidity,pressure_relative,pressure_absolute,indoor_dew_point,indoor_feels_like,indoor_app_tempin
2025-09-01 16:35:00+02:00,,,,,,24.6,95.0,1000.2,1000.2,,,
2025-09-01 16:40:00+02:00,,,,,,24.6,95.0,1000.2,1000.2,,,
2025-09-01 16:45:00+02:00,,,,,,24.6,95.0,1000.3,1000.3,,,
2025-09-01 16:50:00+02:00,,,,,,24.6,95.0,1000.3,1000.3,,,
2025-09-01 16:55:00+02:00,,,,,,24.6,95.0,1000.3,1000.3,,,
2025-09-01 17:00:00+02:00,,,,,,24.5,95.0,1000.3,1000.3,,,
2025-09-01 17:05:00+02:00,,,,,,24.5,96.0,1000.2,1000.2,,,
2025-09-01 17:10:00+02:00,,,,,,24.5,96.0,1000.2,1000.2,,,
2025-09-01 17:15:00+02:00,,,,,,24.5,96.0,1000.0,1000.0,,,
2025-09-01 17:20:00+02:00,,,,,,24.4,96.0,1000.0,1000.0,,,
2025-09-01 17:25:00+02:00,,,,,,24.4,96.0,999.9,999.9,,,
2025-09-01 17:30:00+02:00,,,,,,24.4,96.0,999.9,999.9,,,
2025-09-01 17:35:00+02:00,,,,,,24.4,96.0,1000.0,1000.0,,,
2025-09-01 17:40:00+02:00,,,,,,24.4,96.0,999.9,999.9,,,
2025-09-01 17:45:00+02:00,,,,,,24.3,96.0,1000.0,1000.0,,,
2025-09-01 17:50:00+02:00,,,,,,24.3,96.0,1000.0,1000.0,,,
2025-09-01 17:55:00+02:00,,,,,,24.3,96.0,1000.0,1000.0,,,
2025-09-01 18:00:00+02:00,,,,,,24.3,96.0,999.9,999.9,,,
2025-09-01 18:05:00+02:00,,,,,,24.2,96.0,999.8,999.8,,,
2025-09-01 18:10:00+02:00,,,,,,24.2,96.0,999.6,999.6,,,
2025-09-01 18:15:00+02:00,,,,,,24.2,96.0,999.4,999.4,,,
2025-09-01 18:20:00+02:00,,,,,,24.2,96.0,999.6,999.6,,,
2025-09-01 18:25:00+02:00,,,,,,24.2,96.0,999.7,999.7,,,
2025-09-01 18:30:00+02:00,,,,,,24.1,96.0,999.6,999.6,,,
2025-09-01 18:35:00+02:00,,,,,,24.1,96.0,999.7,999.7,,,
2025-09-01 18:40:00+02:00,,,,,,24.1,96.0,999.7,999.7,,,
2025-09-01 18:45:00+02:00,,,,,,24.1,96.0,999.6,999.6,,,
2025-09-01 18:50:00+02:00,,,,,,24.0,96.0,999.6,999.6,,,
2025-09-01 18:55:00+02:00,,,,,,24.0,96.0,999.6,999.6,,,
2025-09-01 19:00:00+02:00,,,,,,24.0,96.0,999.6,999.6,,,
2025-09-01 19:05:00+02:00,,,,,,23.9,96.0,999.6,999.6,,,
2025-09-01 19:10:00+02:00,,,,,,23.9,96.0,999.6,999.6,,,
2025-09-01 19:15:00+02:00,,,,,,23.8,96.0,999.7,999.7,,,
2025-09-01 19:20:00+02:00,,,,,,23.8,96.0,999.7,999.7,,,
2025-09-01 19:25:00+02:00,,,,,,23.7,95.0,999.5,999.5,,,
2025-09-01 19:30:00+02:00,,,,,,23.7,95.0,999.6,999.6,,,
2025-09-01 19:35:00+02:00,,,,,,23.6,95.0,999.6,999.6,,,
2025-09-01 19:40:00+02:00,,,,,,23.5,95.0,999.7,999.7,,,
2025-09-01 19:45:00+02:00,,,,,,23.4,95.0,999.7,999.7,,,
2025-09-01 19:50:00+02:00,,,,,,23.4,95.0,999.8,999.8,,,
2025-09-01 19:55:00+02:00,,,,,,23.2,95.0,999.8,999.8,,,
2025-09-01 20:00:00+02:00,,,,,,23.2,95.0,999.8,999.8,,,
2025-09-01 20:05:00+02:00,,,,,,23.1,95.0,999.8,999.8,,,
2025-09-01 20:10:00+02:00,,,,,,23.0,95.0,999.9,999.9,,,
2025-09-01 20:15:00+02:00,,,,,,22.9,95.0,999.9,999.9,,,
2025-09-01 20:20:00+02:00,,,,,,22.8,95.0,999.9,999.9,,,
2025-09-01 20:25:00+02:00,,,,,,22.7,95.0,1000.0,1000.0,,,
2025-09-01 20:30:00+02:00,,,,,,22.6,95.0,1000.1,1000.1,,,
2025-09-01 20:35:00+02:00,,,,,,22.6,95.0,1000.1,1000.1,,,
2025-09-01 20:40:00+02:00,,,,,,22.4,95.0,1000.1,1000.1,,,
2025-09-01 20:45:00+02:00,,,,,,22.4,95.0,1000.1,1000.1,,,
2025-09-01 20:50:00+02:00,,,,,,22.3,95.0,1000.1,1000.1,,,
2025-09-01 20:55:00+02:00,,,,,,22.2,95.0,1000.1,1000.1,,,
2025-09-01 21:00:00+02:00,,,,,,22.2,95.0,1000.2,1000.2,,,
2025-09-01 21:05:00+02:00,,,,,,22.1,95.0,1000.4,1000.4,,,
2025-09-01 21:10:00+02:00,,,,,,22.0,95.0,1000.3,1000.3,,,
2025-09-01 21:15:00+02:00,,,,,,21.9,95.0,1000.2,1000.2,,,
2025-09-01 21:20:00+02:00,,,,,,21.9,95.0,1000.2,1000.2,,,
2025-09-01 21:25:00+02:00,,,,,,21.8,95.0,1000.3,1000.3,,,
2025-09-01 21:30:00+02:00,,,,,,21.7,95.0,1000.4,1000.4,,,
2025-09-01 21:35:00+02:00,,,,,,21.6,95.0,1000.5,1000.5,,,
2025-09-01 21:40:00+02:00,,,,,,21.6,95.0,1000.5,1000.5,,,
2025-09-01 21:45:00+02:00,,,,,,21.5,95.0,1000.5,1000.5,,,
2025-09-01 21:50:00+02:00,,,,,,21.4,95.0,1000.5,1000.5,,,
2025-09-01 21:55:00+02:00,,,,,,21.4,95.0,1000.6,1000.6,,,
2025-09-01 22:00:00+02:00,,,,,,21.3,95.0,1000.4,1000.4,,,
2025-09-01 22:05:00+02:00,,,,,,21.3,95.0,1000.6,1000.6,,,
2025-09-01 22:10:00+02:00,,,,,,21.2,95.0,1000.6,1000.6,,,
2025-09-01 22:15:00+02:00,,,,,,21.1,95.0,1000.5,1000.5,,,
2025-09-01 22:20:00+02:00,,,,,,21.1,95.0,1000.7,1000.7,,,
2025-09-01 22:25:00+02:00,,,,,,21.0,95.0,1000.7,1000.7,,,
2025-09-01 22:30:00+02:00,,,,,,21.0,95.0,1000.7,1000.7,,,
2025-09-01 22:35:00+02:00,,,,,,20.9,95.0,1000.8,1000.8,,,
2025-09-01 22:40:00+02:00,,,,,,20.8,95.0,1000.8,1000.8,,,
2025-09-01 22:45:00+02:00,,,,,,20.8,95.0,1000.8,1000.8,,,
2025-09-01 22:50:00+02:00,,,,,,20.7,95.0,1000.8,1000.8,,,
2025-09-01 22:55:00+02:00,,,,,,20.6,95.0,1000.8,1000.8,,,
2025-09-01 23:00:00+02:00,,,,,,20.6,95.0,1000.7,1000.7,,,
2025-09-01 23:05:00+02:00,,,,,,20.5,95.0,1000.7,1000.7,,,
2025-09-01 23:10:00+02:00,,,,,,20.5,95.0,1000.7,1000.7,,,
2025-09-01 23:15:00+02:00,,,,,,20.4,95.0,1000.8,1000.8,,,
2025-09-01 23:20:00+02:00,,,,,,20.4,95.0,1000.9,1000.9,,,
2025-09-01 23:25:00+02:00,,,,,,20.3,95.0,1000.8,1000.8,,,
2025-09-01 23:30:00+02:00,,,,,,20.3,95.0,1000.8,1000.8,,,
2025-09-01 23:35:00+02:00,,,,,,20.2,95.0,1000.8,1000.8,,,
2025-09-01 23:40:00+02:00,,,,,,20.1,95.0,1000.9,1000.9,,,
2025-09-01 23:45:00+02:00,,,,,,20.1,95.0,1000.9,1000.9,,,
2025-09-01 23:50:00+02:00,,,,,,20.0,95.0,1000.9,1000.9,,,
2025-09-01 23:55:00+02:00,,,,,,20.0,95.0,1000.8,1000.8,,,
2025-09-01 00:00:00+02:00,,,,,,21.0,94.0,999.0,999.0,,,
2025-09-01 00:05:00+02:00,,,,,,20.9,94.0,999.0,999.0,,,
2025-09-01 00:10:00+02:00,,,,,,20.9,94.0,999.0,999.0,,,
2025-09-01 00:15:00+02:00,,,,,,20.8,94.0,999.0,999.0,,,
2025-09-01 00:20:00+02:00,,,,,,20.8,95.0,999.1,999.1,,,
2025-09-01 00:25:00+02:00,,,,,,20.7,95.0,999.0,999.0,,,
2025-09-01 00:30:00+02:00,,,,,,20.7,95.0,998.9,998.9,,,
2025-09-01 00:35:00+02:00,,,,,,20.6,95.0,998.9,998.9,,,
2025-09-01 00:40:00+02:00,,,,,,20.6,95.0,998.9,998.9,,,
2025-09-01 00:45:00+02:00,,,,,,20.6,95.0,998.9,998.9,,,
2025-09-01 00:50:00+02:00,,,,,,20.5,95.0,998.8,998.8,,,
2025-09-01 00:55:00+02:00,,,,,,20.5,95.0,998.8,998.8,,,
2025-09-01 01:00:00+02:00,,,,,,20.5,95.0,998.7,998.7,,,
2025-09-01 01:05:00+02:00,,,,,,20.4,95.0,998.7,998.7,,,
2025-09-01 01:10:00+02:00,,,,,,20.4,95.0,998.7,998.7,,,
2025-09-01 01:15:00+02:00,,,,,,20.4,95.0,998.7,998.7,,,
2025-09-01 01:20:00+02:00,,,,,,20.3,95.0,998.8,998.8,,,
2025-09-01 01:25:00+02:00,,,,,,20.3,95.0,998.8,998.8,,,
2025-09-01 01:30:00+02:00,,,,,,20.3,95.0,998.8,998.8,,,
2025-09-01 01:35:00+02:00,,,,,,20.3,95.0,998.7,998.7,,,
2025-09-01 01:40:00+02:00,,,,,,20.2,95.0,998.7,998.7,,,
2025-09-01 01:45:00+02:00,,,,,,20.2,95.0,998.6,998.6,,,
2025-09-01 01:50:00+02:00,,,,,,20.2,95.0,998.7,998.7,,,
2025-09-01 01:55:00+02:00,,,,,,20.1,95.0,998.7,998.7,,,
2025-09-02 00:00:00+02:00,,,,,,19.9,95.0,1000.8,1000.8,,,
2025-09-02 00:05:00+02:00,,,,,,19.8,95.0,1000.8,1000.8,,,
2025-09-02 00:10:00+02:00,,,,,,19.8,95.0,1000.7,1000.7,,,
2025-09-02 00:15:00+02:00,,,,,,19.7,95.0,1000.7,1000.7,,,
2025-09-02 00:20:00+02:00,,,,,,19.7,95.0,1000.7,1000.7,,,
2025-09-02 00:25:00+02:00,,,,,,19.6,95.0,1000.7,1000.7,,,
2025-09-02 00:30:00+02:00,,,,,,19.6,95.0,1000.5,1000.5,,,
2025-09-02 00:35:00+02:00,,,,,,19.5,95.0,1000.5,1000.5,,,
2025-09-02 00:40:00+02:00,,,,,,19.5,95.0,1000.5,1000.5,,,
2025-09-02 00:45:00+02:00,,,,,,19.4,95.0,1000.5,1000.5,,,
2025-09-02 00:50:00+02:00,,,,,,19.4,95.0,1000.6,1000.6,,,
2025-09-02 00:55:00+02:00,,,,,,19.3,95.0,1000.7,1000.7,,,
2025-09-02 01:00:00+02:00,,,,,,19.3,95.0,1000.6,1000.6,,,
2025-09-02 01:05:00+02:00,,,,,,19.2,95.0,1000.6,1000.6,,,
2025-09-02 01:10:00+02:00,,,,,,19.2,95.0,1000.5,1000.5,,,
2025-09-02 01:15:00+02:00,,,,,,19.1,95.0,1000.5,1000.5,,,
2025-09-02 01:20:00+02:00,,,,,,19.1,95.0,1000.5,1000.5,,,
2025-09-02 01:25:00+02:00,,,,,,19.0,95.0,1000.4,1000.4,,,
2025-09-02 01:30:00+02:00,,,,,,19.0,95.0,1000.5,1000.5,,,
2025-09-02 01:35:00+02:00,,,,,,18.9,95.0,1000.5,1000.5,,,
2025-09-02 01:40:00+02:00,,,,,,18.9,95.0,1000.4,1000.4,,,
2025-09-02 01:45:00+02:00,,,,,,18.9,95.0,1000.4,1000.4,,,
2025-09-02 01:50:00+02:00,,,,,,18.8,95.0,1000.4,1000.4,,,
2025-09-02 01:55:00+02:00,,,,,,18.8,95.0,1000.4,1000.4,,,
2025-09-02 02:00:00+02:00,,,,,,18.7,95.0,1000.4,1000.4,,,
2025-09-02 02:05:00+02:00,,,,,,18.7,95.0,1000.2,1000.2,,,
2025-09-02 02:10:00+02:00,,,,,,18.6,95.0,1000.3,1000.3,,,
2025-09-02 02:15:00+02:00,,,,,,18.6,94.0,1000.3,1000.3,,,
2025-09-02 02:20:00+02:00,,,,,,18.5,94.0,1000.3,1000.3,,,
2025-09-02 02:25:00+02:00,,,,,,18.5,94.0,1000.3,1000.3,,,
2025-09-02 02:30:00+02:00,,,,,,18.5,94.0,1000.3,1000.3,,,
2025-09-02 02:35:00+02:00,,,,,,18.4,94.0,1000.3,1000.3,,,
2025-09-02 02:40:00+02:00,,,,,,18.4,94.0,1000.2,1000.2,,,
2025-09-02 02:45:00+02:00,,,,,,18.3,94.0,1000.4,1000.4,,,
