wahltermin_datum,wahl,Wahlkreis,AGS,Bez-Nr,Wahlberechtigte,Ohne Sperrvermerk,Mit Sperrvermerk,Nicht im W�hlerverzeichnis,Waehler,DavonMitWahlschein,UngueltigeErststimmen,UngueltigeZweitstimmen,GueltigeErststimmen,GueltigeZweitstimmen,CDU,CDU,SPD,SPD,Gr�ne,Gr�ne,Die Linke,Die Linke,FDP,FDP,AfD,AfD,D7,Piraten,D8,NPD,D9,Die PARTEI,D10,Freie W�hler,D11,Volksabstimmung,D12,�DP,MLPD,MLPD,D14,SGP,D15,Allianz Deutscher Demokraten,D16,BGE,D17,DiB,D18,DKP,D19,DM,D20,Die Humanisten,D21,Gesundheitsforschung,D22,Tierschutzpartei,D23,V-Partei�
24.09.2017,Bundestagswahl,141,5916000,3161,1336,1119,217,0,650,0,14,8,636,642,110,118,293,243,28,23,51,58,53,57,100,97,,12,,3,,3,,5,,1,,0,1,1,,0,,11,,1,,1,,0,,2,,0,,0,,6,,0
24.09.2017,Bundestagswahl,141,5916000,3162,1347,1126,221,0,584,0,14,11,570,573,91,100,227,197,21,27,67,74,57,41,100,83,,5,,3,,5,,2,,1,,0,7,3,,1,,22,,1,,0,,0,,1,,0,,2,,5,,0
24.09.2017,Bundestagswahl,141,5916000,3163,1281,1044,237,0,611,0,13,8,598,603,112,99,243,186,39,41,74,83,35,53,94,95,,5,,2,,14,,0,,1,,1,1,0,,0,,13,,0,,1,,0,,0,,0,,1,,7,,1
24.09.2017,Bundestagswahl,141,5916000,3171,1351,1001,350,0,711,0,7,2,704,709,172,181,252,168,71,88,74,85,51,75,83,81,,2,,2,,8,,3,,0,,1,1,0,,0,,1,,0,,3,,0,,3,,0,,2,,5,,1
24.09.2017,Bundestagswahl,141,5916000,3172,1192,1014,178,0,535,0,7,6,528,529,105,109,240,182,35,43,50,57,22,35,75,87,,2,,0,,7,,2,,1,,0,1,0,,0,,0,,1,,0,,0,,0,,0,,1,,2,,0
24.09.2017,Bundestagswahl,141,5916000,3173,1447,1069,378,0,800,2,13,5,787,795,217,199,293,220,54,60,37,52,88,132,94,93,,2,,3,,8,,0,,1,,1,4,0,,0,,10,,1,,1,,0,,0,,1,,1,,8,,2
24.09.2017,Bundestagswahl,141,5916000,3181,1117,944,173,0,516,0,11,9,505,507,110,96,231,197,26,31,32,41,28,37,75,68,,9,,2,,5,,0,,0,,0,3,1,,0,,16,,0,,0,,0,,0,,0,,0,,3,,1
24.09.2017,Bundestagswahl,141,5916000,3182,1194,981,213,0,634,1,9,4,625,630,122,110,305,262,40,39,47,58,40,54,70,76,,5,,2,,9,,0,,0,,0,1,1,,0,,7,,2,,1,,1,,0,,0,,2,,1,,0
24.09.2017,Bundestagswahl,141,5916000,3183,1371,1077,294,0,752,0,7,24,745,728,193,169,301,228,35,31,48,55,51,98,115,111,,5,,4,,8,,0,,1,,0,2,0,,0,,1,,0,,2,,0,,0,,1,,2,,10,,2
24.09.2017,Bundestagswahl,141,5916000,3191,1235,973,262,0,660,0,16,7,644,653,123,128,284,208,48,64,71,71,37,55,80,82,,6,,2,,7,,0,,0,,0,1,0,,2,,10,,2,,4,,0,,0,,1,,2,,9,,0
24.09.2017,Bundestagswahl,141,5916000,3192,1262,1083,179,0,667,3,11,8,656,659,144,140,266,207,48,50,71,67,45,65,82,86,,3,,3,,12,,5,,2,,0,0,0,,0,,4,,1,,2,,1,,0,,1,,1,,8,,1
24.09.2017,Bundestagswahl,141,5916000,3193,1225,991,234,0,635,0,10,11,625,624,133,126,259,215,38,40,66,72,39,51,86,92,,3,,4,,9,,1,,0,,0,4,0,,0,,0,,0,,1,,0,,0,,1,,2,,6,,1
24.09.2017,Bundestagswahl,141,5916000,3201,1045,831,214,0,546,0,10,7,536,539,158,148,214,185,17,19,40,39,39,55,68,78,,2,,5,,4,,0,,1,,0,0,1,,0,,1,,0,,0,,0,,0,,0,,0,,1,,0
24.09.2017,Bundestagswahl,141,5916000,3202,1100,915,185,0,540,0,24,17,516,523,110,106,213,172,27,24,59,65,39,50,65,71,,4,,3,,10,,1,,1,,0,3,0,,4,,0,,8,,1,,1,,0,,0,,1,,0,,1
24.09.2017,Bundestagswahl,141,5916000,3203,1032,825,207,0,439,0,12,6,427,433,81,78,178,147,26,29,49,56,31,46,62,54,,2,,3,,5,,4,,1,,0,0,0,,1,,4,,0,,0,,0,,0,,0,,0,,2,,1
24.09.2017,Bundestagswahl,141,5916000,3204,1099,827,272,0,618,1,13,10,605,608,156,138,243,215,30,27,52,51,56,77,67,77,,2,,0,,8,,1,,0,,0,1,0,,0,,1,,0,,1,,0,,1,,1,,0,,7,,1
24.09.2017,Bundestagswahl,141,5916000,3211,1205,879,326,0,690,2,9,9,681,681,167,162,288,216,38,58,55,52,48,80,85,82,,2,,1,,11,,4,,0,,0,0,2,,0,,4,,0,,1,,0,,2,,1,,0,,3,,0
24.09.2017,Bundestagswahl,141,5916000,3212,1033,824,209,0,602,1,1,1,601,601,182,175,194,198,40,38,47,44,48,56,88,61,,4,,2,,6,,1,,0,,0,2,1,,0,,8,,0,,0,,0,,0,,0,,0,,7,,0
24.09.2017,Bundestagswahl,141,5916000,3213,1164,930,234,0,664,5,19,15,645,649,157,139,274,218,29,40,57,60,43,64,85,94,,5,,3,,6,,0,,0,,0,0,1,,1,,3,,1,,0,,0,,4,,0,,1,,9,,0
24.09.2017,Bundestagswahl,141,5916000,3214,1112,816,296,0,589,4,5,4,584,585,179,179,217,174,45,55,39,38,32,58,70,65,,2,,0,,3,,1,,0,,1,2,1,,0,,0,,1,,0,,0,,0,,0,,0,,7,,0
24.09.2017,Bundestagswahl,141,5916000,4221,906,775,131,0,564,0,14,7,550,557,106,102,263,240,22,22,40,38,26,32,89,93,,2,,6,,3,,0,,0,,0,4,0,,0,,14,,0,,2,,0,,1,,0,,0,,2,,0
24.09.2017,Bundestagswahl,141,5916000,4222,941,783,158,0,518,0,10,11,508,507,119,119,227,184,10,13,30,26,37,49,84,90,,7,,5,,2,,2,,0,,0,1,0,,0,,4,,1,,0,,0,,0,,0,,1,,3,,1
24.09.2017,Bundestagswahl,141,5916000,4223,972,863,109,0,509,0,17,11,492,498,83,91,253,213,12,15,36,40,31,35,76,71,,4,,3,,3,,2,,0,,2,1,0,,9,,0,,9,,0,,0,,0,,0,,0,,1,,0
24.09.2017,Bundestagswahl,141,5916000,4224,844,771,73,0,449,1,25,6,424,443,40,41,201,158,14,15,41,35,22,24,106,112,,7,,6,,4,,0,,0,,1,0,1,,0,,30,,1,,0,,0,,1,,0,,1,,6,,0
24.09.2017,Bundestagswahl,141,5916000,4231,1327,1107,220,0,703,0,16,9,687,694,176,164,294,225,30,34,42,51,46,82,94,94,,8,,1,,5,,1,,0,,0,5,0,,0,,11,,0,,1,,0,,1,,1,,2,,12,,1
24.09.2017,Bundestagswahl,141,5916000,4232,1187,954,233,0,618,0,18,12,600,606,127,109,278,228,23,36,41,41,42,49,88,95,,4,,3,,3,,1,,0,,0,1,1,,0,,26,,0,,1,,0,,3,,0,,1,,5,,0
24.09.2017,Bundestagswahl,141,5916000,4233,1187,957,230,0,684,0,20,11,664,673,133,133,302,241,29,32,44,43,41,63,113,119,,7,,1,,1,,3,,1,,0,2,1,,0,,13,,0,,1,,0,,0,,0,,1,,12,,1
