wahltermin_datum,wahl,Wahlkreis,AGS,Bez-Nr,Wahlberchtigte,ohne Sperrvermerk,mit Sperrvermerk,nicht im W�hlerverzeichnis,Waehler,DavonMitWahlschein,UngueltigeErststimmen,UngueltigeZweitstimmen,GueltigeErststimmen,GueltigeZweitstimmen,SPD,SPD,CDU,CDU,GR�NE,GR�NE,FDP,FDP,PIRATEN,PIRATEN,DIE LINKE,DIE LINKE,D7,NPD,D8,Die PARTEI,D9,FREIE W�HLER,D10,BIG,D11,FBI/FWG,D12,�DP,D13,Volksabstimmung,D14,TIERSCHUTZliste,D15,AD-Demokraten NRW,AfD,AfD,D17,Aufbruch C,D18,BGE,D19,DBD,D20,DKP,D21,ZENTRUM,D22,Die Rechte,D23,REP,D24,DIE VIOLETTEN,D25,JED,MLPD,MLPD,D27,PAN,D28,Gesundheitsforschung,D29,"PARTEILOSE WG ""BRD""",D30,Sch�ner Leben,D31,V-Partei�
14.05.2017,Landtagswahl NRW,109,5916000,2112,1319,1121,198,0,653,0,20,20,633,633,262,237,204,190,20,27,41,46,14,8,37,31,,7,,3,,1,,4,,0,,0,,2,,4,,0,52,66,,0,,0,,0,,0,,0,,1,,1,,0,,2,3,2,,0,,0,,0,,1,,0
14.05.2017,Landtagswahl NRW,109,5916000,2113,1438,1201,237,0,730,1,9,7,721,723,289,277,220,199,27,21,63,72,15,8,46,41,,7,,8,,2,,1,,0,,0,,2,,4,,0,60,76,,0,,0,,0,,0,,0,,0,,0,,0,,2,1,1,,0,,2,,0,,0,,0
14.05.2017,Landtagswahl NRW,109,5911000,2201,919,767,152,0,412,1,5,2,407,410,179,155,89,85,21,24,31,40,3,5,22,19,,6,,1,,4,,0,,0,,0,,1,,4,,3,62,62,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,,0,,0,,0,,0,,1
14.05.2017,Landtagswahl NRW,109,5911000,2202,998,824,174,0,494,4,3,3,491,491,190,171,146,127,24,32,33,40,18,8,43,38,,4,,2,,3,,0,,0,,0,,0,,5,,0,37,57,,0,,0,,0,,0,,0,,1,,0,,0,,1,0,0,,0,,1,,0,,0,,1
14.05.2017,Landtagswahl NRW,109,5911000,2203,771,667,104,0,315,0,5,11,310,304,142,115,78,63,15,20,15,21,15,5,19,19,,5,,1,,2,,2,,0,,0,,1,,1,,3,26,41,,1,,0,,0,,0,,0,,0,,1,,0,,0,0,1,,0,,2,,0,,0,,0
14.05.2017,Landtagswahl NRW,109,5911000,2204,829,680,149,0,292,1,6,5,286,287,119,107,67,56,19,23,13,25,4,5,24,25,,1,,2,,0,,0,,0,,0,,1,,1,,0,39,38,,0,,0,,0,,0,,0,,0,,0,,1,,1,1,0,,0,,0,,0,,0,,1
14.05.2017,Landtagswahl NRW,109,5911000,2205,879,747,132,0,334,0,3,3,331,331,142,124,102,95,14,21,26,29,7,4,21,25,,3,,4,,0,,0,,0,,0,,0,,0,,0,19,21,,0,,0,,0,,0,,0,,1,,1,,1,,1,0,0,,0,,0,,0,,0,,1
14.05.2017,Landtagswahl NRW,109,5911000,2206,932,754,178,0,458,3,4,5,454,453,159,123,177,177,15,14,39,50,3,4,32,31,,3,,4,,5,,0,,0,,0,,1,,8,,0,28,32,,0,,1,,0,,0,,0,,0,,0,,0,,0,1,0,,0,,0,,0,,0,,0
14.05.2017,Landtagswahl NRW,109,5911000,2207,831,663,168,0,321,4,3,2,318,319,130,107,71,70,10,12,36,43,5,2,20,14,,3,,3,,3,,0,,0,,0,,0,,4,,0,45,51,,0,,0,,0,,0,,0,,0,,1,,0,,1,1,2,,0,,1,,0,,2,,0
14.05.2017,Landtagswahl NRW,109,5911000,2208,834,698,136,0,387,2,4,4,383,383,165,140,99,88,14,15,25,43,11,6,21,20,,2,,2,,2,,1,,0,,0,,0,,4,,1,47,52,,0,,1,,1,,0,,0,,0,,0,,1,,3,1,1,,0,,0,,0,,0,,0
